task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	20/bdfbc2	96414	fastcat (9)	COMPLETED	0	2023-09-25 04:09:22.041	1.3s	65ms	44.9%	1.1 MB	3.8 MB	102.1 KB	5.2 KB
5	01/e301d6	96463	kraken_pipeline:run_common:getParams	COMPLETED	0	2023-09-25 04:09:22.076	1.6s	10ms	59.3%	1 MB	3.8 MB	60 KB	4.4 KB
17	03/4165af	96427	fastcat (13)	COMPLETED	0	2023-09-25 04:09:22.058	2.1s	139ms	39.7%	1 MB	3.8 MB	124.6 KB	27.6 KB
3	4a/75f199	96502	kraken_pipeline:run_common:getVersions	COMPLETED	0	2023-09-25 04:09:22.095	3.4s	1.6s	184.9%	84.8 MB	2.1 GB	12.1 MB	8.7 MB
29	7b/b23011	97801	kraken_pipeline:output (1)	COMPLETED	0	2023-09-25 04:09:25.524	1.2s	8ms	80.0%	1.1 MB	3.8 MB	55.7 KB	200 B
31	76/0c201e	98191	kraken_pipeline:output (2)	COMPLETED	0	2023-09-25 04:09:26.746	1.2s	9ms	66.7%	1 MB	3.8 MB	55.7 KB	200 B
1	a0/1389a0	98661	kraken_pipeline:unpackDatabase	COMPLETED	0	2023-09-25 04:09:27.941	1.3s	53ms	17.8%	1008 KB	3.8 MB	3.3 MB	3.2 MB
10	7b/b98065	97330	fastcat (6)	COMPLETED	0	2023-09-25 04:09:24.212	6.9s	5.7s	54.3%	9 MB	239.6 MB	97.3 MB	94.8 MB
33	79/d3f8de	99339	kraken_pipeline:determine_bracken_length	COMPLETED	0	2023-09-25 04:09:30.213	1.3s	34ms	44.4%	1016 KB	3.8 MB	77.2 KB	264 B
6	65/cde331	97013	fastcat (2)	COMPLETED	0	2023-09-25 04:09:23.363	9.8s	8.2s	50.4%	9.4 MB	239.7 MB	138.6 MB	134.2 MB
15	48/c46ba1	100128	fastcat (11)	COMPLETED	0	2023-09-25 04:09:33.167	1.2s	90ms	41.6%	1008 KB	3.8 MB	116 KB	19.2 KB
18	be/e9b74c	100509	fastcat (14)	COMPLETED	0	2023-09-25 04:09:34.342	1.1s	70ms	36.6%	1 MB	3.8 MB	103 KB	6.3 KB
2	35/b2d66b	99670	fastcat (1)	COMPLETED	0	2023-09-25 04:09:31.152	12.8s	11.6s	91.5%	9.2 MB	239.7 MB	403.3 MB	390.4 MB
14	07/927624	102166	fastcat (10)	COMPLETED	0	2023-09-25 04:09:43.938	1.1s	80ms	23.7%	1.1 MB	3.8 MB	109.6 KB	12.9 KB
7	f4/e838db	102492	fastcat (3)	COMPLETED	0	2023-09-25 04:09:45.043	2.9s	2s	52.3%	8.6 MB	239.6 MB	40.4 MB	39.4 MB
12	65/7b7801	102962	fastcat (8)	COMPLETED	0	2023-09-25 04:09:47.977	1s	155ms	38.2%	1008 KB	3.8 MB	1 MB	918.9 KB
19	99/8f8aa1	103154	fastcat (15)	COMPLETED	0	2023-09-25 04:09:49.036	1.1s	78ms	34.3%	1016 KB	3.8 MB	112.3 KB	15.5 KB
11	1c/445370	100785	fastcat (7)	COMPLETED	0	2023-09-25 04:09:35.408	17.3s	16.4s	51.3%	9.3 MB	239.6 MB	310.4 MB	302.6 MB
8	3a/8225ef	103401	fastcat (4)	COMPLETED	0	2023-09-25 04:09:50.116	15.8s	14.9s	50.7%	8.8 MB	239.6 MB	265.8 MB	259 MB
16	8d/edd417	105650	fastcat (12)	COMPLETED	0	2023-09-25 04:10:05.970	985ms	79ms	36.6%	2.8 MB	3.8 MB	102.8 KB	6.1 KB
9	d1/0d158c	103845	fastcat (5)	COMPLETED	0	2023-09-25 04:09:52.726	14.7s	13.7s	53.9%	9.1 MB	239.6 MB	278.3 MB	271.5 MB
20	09/2709bc	105893	fastcat (16)	COMPLETED	0	2023-09-25 04:10:06.970	1.3s	104ms	28.1%	1008 KB	3.8 MB	204.7 KB	105.8 KB
22	84/52b81d	105977	fastcat (18)	COMPLETED	0	2023-09-25 04:10:07.483	1.2s	90ms	31.0%	1.1 MB	3.8 MB	110.7 KB	14 KB
25	dc/37da02	106273	fastcat (21)	COMPLETED	0	2023-09-25 04:10:08.325	1.4s	86ms	33.1%	1004 KB	3.8 MB	117.7 KB	20.9 KB
21	21/877490	106343	fastcat (17)	COMPLETED	0	2023-09-25 04:10:08.717	1.4s	99ms	28.9%	1.1 MB	3.8 MB	108 KB	11.3 KB
23	62/e6cab7	106709	fastcat (19)	COMPLETED	0	2023-09-25 04:10:09.703	1.3s	97ms	29.6%	2.8 MB	3.8 MB	123.3 KB	26.4 KB
27	f6/f797f4	106792	fastcat (23)	COMPLETED	0	2023-09-25 04:10:10.162	1.3s	105ms	37.9%	1 MB	3.8 MB	129.9 KB	32.8 KB
26	9e/58cc51	107069	fastcat (22)	COMPLETED	0	2023-09-25 04:10:10.996	1.4s	76ms	35.3%	1012 KB	3.8 MB	104.1 KB	7.5 KB
24	08/e14137	107175	fastcat (20)	COMPLETED	0	2023-09-25 04:10:11.495	1.3s	101ms	37.4%	1 MB	3.8 MB	229.6 KB	130.7 KB
