task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	dc/b10c01	22705	kraken_pipeline:run_common:getParams	COMPLETED	0	2023-09-25 18:54:00.186	14.6s	47ms	36.4%	0	0	59.4 KB	4.5 KB
9	44/2f9e8e	22702	fastcat (5)	COMPLETED	0	2023-09-25 18:54:00.153	15.3s	723ms	24.7%	7.8 MB	46.6 MB	1.1 MB	1010.3 KB
13	c3/4b63f9	22838	kraken_pipeline:output (1)	COMPLETED	0	2023-09-25 18:54:15.545	2.3s	28ms	37.5%	0	0	55 KB	184 B
3	6e/900786	22703	kraken_pipeline:run_common:getVersions	COMPLETED	0	2023-09-25 18:54:00.165	27.2s	12.7s	49.0%	72.4 MB	535.6 MB	12.1 MB	8.7 MB
11	1f/f1ff6d	22837	fastcat (7)	COMPLETED	0	2023-09-25 18:54:15.483	12.9s	11s	70.1%	10 MB	367.6 MB	125.8 MB	122.5 MB
15	cf/e05224	22942	kraken_pipeline:output (2)	COMPLETED	0	2023-09-25 18:54:28.369	1.8s	31ms	21.6%	0	0	55 KB	186 B
7	20/3f3954	22941	fastcat (3)	COMPLETED	0	2023-09-25 18:54:28.360	6.1s	4.4s	69.7%	9.6 MB	367.6 MB	48.8 MB	47.7 MB
12	89/6920bc	22704	fastcat (8)	COMPLETED	0	2023-09-25 18:54:00.178	55.9s	41.6s	69.9%	9.6 MB	367.7 MB	492.3 MB	479.5 MB
10	b8/fe87d4	23008	fastcat (6)	COMPLETED	0	2023-09-25 18:54:34.514	30.2s	28.6s	92.6%	9.9 MB	367.7 MB	449.1 MB	434.8 MB
5	ad/b42e02	23086	fastcat (1)	COMPLETED	0	2023-09-25 18:54:56.095	33.5s	31.9s	62.1%	9.8 MB	368.6 MB	373.1 MB	363.8 MB
6	a6/b42455	23119	fastcat (2)	COMPLETED	0	2023-09-25 18:55:04.694	26.5s	24.9s	57.6%	9.8 MB	367.7 MB	272.3 MB	263 MB
8	a1/b1ce64	23153	fastcat (4)	COMPLETED	0	2023-09-25 18:55:29.638	30.2s	28.6s	81.1%	9 MB	239.7 MB	410.4 MB	399.4 MB
1	ea/e3916e	23046	kraken_pipeline:unpackTaxonomy	COMPLETED	0	2023-09-25 18:54:46.548	1m 19s	1m 17s	23.3%	5 MB	7.3 MB	122.8 MB	1.7 GB
4	a5/450f2a	23881	kraken_pipeline:unpackDatabase	COMPLETED	0	2023-09-25 19:28:15.247	14m 11s	14m 8s	28.6%	6.4 MB	11 MB	13 GB	15 GB
23	91/795447	24263	kraken_pipeline:determine_bracken_length	COMPLETED	0	2023-09-25 19:42:29.978	13.3s	794ms	26.8%	2.5 MB	3.8 MB	76.8 KB	427 B
14	aa/9e5360	22900	kraken_pipeline:kraken2_client (1)	COMPLETED	0	2023-09-25 18:54:17.843	1h 32s	1h 28s	1.3%	421.8 MB	919.9 MB	47 MB	26.7 MB
