task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ca/0ef7f6	211553	kraken_pipeline:run_common:getParams	COMPLETED	0	2023-09-25 06:04:56.294	1.8s	18ms	48.5%	1.1 MB	3.8 MB	60 KB	4.4 KB
20	93/eca9d5	211505	fastcat (16)	COMPLETED	0	2023-09-25 06:04:56.258	2s	103ms	38.3%	1008 KB	3.8 MB	204.7 KB	105.8 KB
2	c0/4f7408	211592	kraken_pipeline:run_common:getVersions	COMPLETED	0	2023-09-25 06:04:56.314	3.5s	1.6s	201.4%	85.1 MB	2.1 GB	12.1 MB	8.7 MB
28	67/a5afa8	212259	kraken_pipeline:output (1)	COMPLETED	0	2023-09-25 06:04:58.271	1.7s	13ms	51.6%	1 MB	3.8 MB	55.7 KB	201 B
14	21/80e451	212244	fastcat (10)	COMPLETED	0	2023-09-25 06:04:58.251	1.9s	89ms	42.7%	1 MB	3.8 MB	109.6 KB	12.9 KB
30	b8/628a4e	212835	kraken_pipeline:output (2)	COMPLETED	0	2023-09-25 06:04:59.962	1.5s	10ms	100.0%	0	0	55.7 KB	202 B
10	ae/f6bc65	211521	fastcat (6)	COMPLETED	0	2023-09-25 06:04:56.275	6.8s	5.5s	53.2%	8.7 MB	239.6 MB	97.3 MB	94.8 MB
4	43/4b1554	213718	kraken_pipeline:unpackDatabase	COMPLETED	0	2023-09-25 06:05:02.481	1.5s	64ms	14.4%	1.1 MB	3.8 MB	3.3 MB	3.2 MB
12	fd/064146	213836	fastcat (8)	COMPLETED	0	2023-09-25 06:05:03.132	1.6s	144ms	45.9%	1016 KB	3.8 MB	1 MB	918.9 KB
33	82/c61673	214422	kraken_pipeline:determine_bracken_length	COMPLETED	0	2023-09-25 06:05:04.792	1.7s	53ms	34.4%	1.1 MB	3.8 MB	77.4 KB	466 B
17	3b/a7951b	214411	fastcat (13)	COMPLETED	0	2023-09-25 06:05:04.774	1.9s	81ms	47.4%	1008 KB	3.8 MB	124.6 KB	27.6 KB
16	b5/5d8595	215047	fastcat (12)	COMPLETED	0	2023-09-25 06:05:06.668	1s	75ms	37.5%	1012 KB	3.8 MB	102.8 KB	6.1 KB
9	f8/cf6f8b	213094	fastcat (5)	COMPLETED	0	2023-09-25 06:05:00.185	15.5s	14s	57.5%	8.8 MB	239.6 MB	278.3 MB	271.5 MB
18	89/b8aae3	216681	fastcat (14)	COMPLETED	0	2023-09-25 06:05:15.706	1.1s	62ms	43.6%	1012 KB	3.8 MB	103 KB	6.3 KB
15	ef/f210f1	216951	fastcat (11)	COMPLETED	0	2023-09-25 06:05:16.773	1s	71ms	52.9%	1008 KB	3.8 MB	116 KB	19.2 KB
11	2a/66a2a3	215373	fastcat (7)	COMPLETED	0	2023-09-25 06:05:07.724	17.5s	16.5s	52.1%	8.6 MB	239.6 MB	310.4 MB	302.6 MB
5	6f/e229af	217223	fastcat (1)	COMPLETED	0	2023-09-25 06:05:17.828	12.4s	11.4s	91.9%	9 MB	239.7 MB	403.3 MB	390.4 MB
13	a9/eb5af0	219012	fastcat (9)	COMPLETED	0	2023-09-25 06:05:30.235	965ms	56ms	32.3%	1004 KB	3.8 MB	102.1 KB	5.2 KB
19	8c/3d001c	219338	fastcat (15)	COMPLETED	0	2023-09-25 06:05:31.216	1.1s	69ms	40.0%	1012 KB	3.8 MB	112.3 KB	15.5 KB
6	f4/d9ede5	218118	fastcat (2)	COMPLETED	0	2023-09-25 06:05:25.230	8.5s	7.5s	53.6%	9.1 MB	239.7 MB	138.6 MB	134.2 MB
7	01/f65911	219894	fastcat (3)	COMPLETED	0	2023-09-25 06:05:33.725	3.2s	2.1s	52.6%	9.5 MB	239.8 MB	40.4 MB	39.4 MB
21	86/42205f	220616	fastcat (17)	COMPLETED	0	2023-09-25 06:05:36.975	1.2s	97ms	39.8%	1.1 MB	3.8 MB	108 KB	11.3 KB
24	a2/fcdd7d	220896	fastcat (20)	COMPLETED	0	2023-09-25 06:05:38.175	1.1s	83ms	34.0%	1008 KB	3.8 MB	229.6 KB	130.7 KB
25	6f/d8bf96	221168	fastcat (21)	COMPLETED	0	2023-09-25 06:05:39.244	1.1s	69ms	39.3%	1012 KB	3.8 MB	117.7 KB	20.9 KB
26	11/cc5f7b	221440	fastcat (22)	COMPLETED	0	2023-09-25 06:05:40.315	1.1s	62ms	42.1%	1 MB	3.8 MB	104.2 KB	7.5 KB
23	98/a95930	221764	fastcat (19)	COMPLETED	0	2023-09-25 06:05:41.424	1.1s	79ms	35.3%	1016 KB	3.8 MB	123.4 KB	26.4 KB
22	9e/960d99	222036	fastcat (18)	COMPLETED	0	2023-09-25 06:05:42.576	955ms	71ms	40.0%	1.1 MB	3.8 MB	110.7 KB	14 KB
