task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	d6/4ccc71	478723	process_run:download_references:taxid_from_name (2)	COMPLETED	0	2023-09-26 01:47:41.399	4.9s	3.4s	9.9%	26.5 MB	1.5 GB	1.8 MB	21.4 KB
1	be/123360	478696	process_run:download_references:taxid_from_name (1)	COMPLETED	0	2023-09-26 01:47:41.359	6.1s	4.4s	7.4%	26.8 MB	1.5 GB	1.8 MB	20.8 KB
4	c2/dd1ade	478672	process_run:download_references:taxid_from_name (3)	COMPLETED	0	2023-09-26 01:47:41.312	6.3s	4.8s	7.4%	26.7 MB	1.5 GB	1.8 MB	19 KB
7	55/2dce9d	482516	process_run:move_or_compress (3)	COMPLETED	0	2023-09-26 01:47:47.677	2s	0ms	193.9%	3 MB	5.4 MB	44.4 MB	43.5 MB
6	3a/0c506e	482429	process_run:move_or_compress (2)	COMPLETED	0	2023-09-26 01:47:47.459	2.9s	1s	211.3%	4.2 MB	9.9 MB	153.5 MB	149.1 MB
5	7f/8a9cd0	481917	process_run:move_or_compress (1)	COMPLETED	0	2023-09-26 01:47:46.352	6.6s	5s	234.5%	8.9 MB	237.6 MB	503.7 MB	491.7 MB
8	d7/6e7957	483305	process_run:move_or_compress (4)	COMPLETED	0	2023-09-26 01:47:49.672	4.6s	3s	206.3%	8.3 MB	236.6 MB	283.7 MB	276.9 MB
9	cf/474fdf	483507	process_run:move_or_compress (5)	COMPLETED	0	2023-09-26 01:47:50.361	4.6s	3s	219.7%	4.1 MB	9.9 MB	307.3 MB	300.6 MB
10	32/aaf8cd	484631	process_run:move_or_compress (6)	COMPLETED	0	2023-09-26 01:47:52.990	2.5s	1s	202.7%	3.1 MB	5.4 MB	108.3 MB	105.8 MB
12	3b/0f6578	485059	process_run:move_or_compress (8)	COMPLETED	0	2023-09-26 01:47:54.251	1.9s	0ms	50.8%	3 MB	5.4 MB	1.1 MB	957.1 KB
13	83/24e633	485448	process_run:move_or_compress (9)	COMPLETED	0	2023-09-26 01:47:55.022	1.7s	0ms	62.3%	3 MB	5.4 MB	64.9 KB	6.1 KB
14	58/48cc9a	485622	process_run:move_or_compress (10)	COMPLETED	0	2023-09-26 01:47:55.531	1.6s	0ms	44.4%	3 MB	5.4 MB	105.1 KB	13.7 KB
15	99/f849e5	485838	process_run:move_or_compress (11)	COMPLETED	0	2023-09-26 01:47:56.150	2s	0ms	32.5%	3 MB	5.4 MB	128.7 KB	21 KB
16	8d/299187	486156	process_run:move_or_compress (12)	COMPLETED	0	2023-09-26 01:47:57.175	1.5s	0ms	43.0%	3.1 MB	5.4 MB	97.7 KB	6.3 KB
17	a0/36e540	486558	process_run:move_or_compress (13)	COMPLETED	0	2023-09-26 01:47:58.169	1.5s	0ms	36.0%	3 MB	5.4 MB	138.9 KB	31.1 KB
18	e4/7b362e	486696	process_run:move_or_compress (14)	COMPLETED	0	2023-09-26 01:47:58.701	1.5s	0ms	42.9%	3.1 MB	5.4 MB	82 KB	7 KB
19	13/b87b35	487164	process_run:move_or_compress (15)	COMPLETED	0	2023-09-26 01:47:59.643	1.6s	0ms	34.0%	3 MB	5.4 MB	108.1 KB	16.7 KB
20	53/7f2186	487370	process_run:move_or_compress (16)	COMPLETED	0	2023-09-26 01:48:00.201	1.7s	0ms	44.9%	3 MB	5.4 MB	240.9 KB	115.9 KB
11	ed/ce0f30	486022	process_run:move_or_compress (7)	COMPLETED	0	2023-09-26 01:47:56.697	5.5s	3s	196.9%	8.4 MB	237.6 MB	336.7 MB	328.9 MB
21	14/fe6097	487754	process_run:move_or_compress (17)	COMPLETED	0	2023-09-26 01:48:01.232	1.6s	0ms	35.4%	3.1 MB	5.4 MB	136.6 KB	12.6 KB
22	19/43b6a6	488025	process_run:move_or_compress (18)	COMPLETED	0	2023-09-26 01:48:01.929	1.5s	0ms	33.7%	3 MB	5.4 MB	123.6 KB	15.9 KB
23	f1/d403ae	488229	process_run:move_or_compress (19)	COMPLETED	0	2023-09-26 01:48:02.250	1.8s	0ms	33.5%	3 MB	5.4 MB	152.1 KB	28 KB
24	12/af92e2	488430	process_run:move_or_compress (20)	COMPLETED	0	2023-09-26 01:48:02.856	1.8s	0ms	34.6%	3.1 MB	5.4 MB	270.3 KB	144.4 KB
25	fc/5e6869	488620	process_run:move_or_compress (21)	COMPLETED	0	2023-09-26 01:48:03.417	1.7s	0ms	41.8%	3.1 MB	5.4 MB	115.6 KB	24.1 KB
26	15/1c1009	488862	process_run:move_or_compress (22)	COMPLETED	0	2023-09-26 01:48:04.057	1.7s	1s	42.1%	3 MB	5.4 MB	82.5 KB	7.4 KB
27	e4/2f5972	489058	process_run:move_or_compress (23)	COMPLETED	0	2023-09-26 01:48:04.713	1.7s	0ms	36.4%	3.1 MB	5.4 MB	160.4 KB	36.2 KB
28	ad/b615f7	489246	process_run:move_or_compress (24)	COMPLETED	0	2023-09-26 01:48:05.121	7.5s	6s	214.2%	8.8 MB	237.6 MB	591.3 MB	580.5 MB
29	5e/beb830	489553	process_run:download_references:download_references_by_taxid (1)	COMPLETED	0	2023-09-26 01:48:05.794	10.9s	9.6s	8.4%	31.4 MB	2.2 GB	5.6 MB	184.8 KB
32	fd/ab1e8e	493754	process_run:download_references:filter_references (1)	COMPLETED	0	2023-09-26 01:48:17.743	1.9s	768ms	270.1%	3.1 MB	5.6 MB	5.5 MB	12.3 KB
30	88/439c48	493474	process_run:download_references:download_references_by_taxid (2)	COMPLETED	0	2023-09-26 01:48:16.715	13.7s	12.8s	7.3%	38.2 MB	2.2 GB	6.5 MB	476.9 KB
33	93/93edea	497230	process_run:download_references:filter_references (2)	COMPLETED	0	2023-09-26 01:48:30.474	1.6s	651ms	304.8%	3.1 MB	5.6 MB	5.5 MB	36.2 KB
31	f2/7f4ea3	497202	process_run:download_references:download_references_by_taxid (3)	COMPLETED	0	2023-09-26 01:48:30.446	9.9s	8.9s	7.9%	30.4 MB	2.2 GB	5.3 MB	484.3 KB
34	a4/d09c6c	500150	process_run:download_references:filter_references (3)	COMPLETED	0	2023-09-26 01:48:40.365	1.6s	619ms	321.6%	3.2 MB	5.6 MB	5.6 MB	102.5 KB
2	3e/2ce454	500345	process_run:extract_reads:unpack_taxonomy	COMPLETED	0	2023-09-26 01:52:14.259	4.4s	4.3s	64.8%	7.5 MB	12.3 MB	496.4 MB	872.1 MB
45	fd/3a1593	500760	process_run:extract_reads:extract_kraken_reads (11)	COMPLETED	0	2023-09-26 01:52:18.850	19s	17.8s	70.6%	495.5 MB	2.5 GB	639.5 MB	5.9 KB
40	70/00b048	500769	process_run:extract_reads:extract_kraken_reads (6)	COMPLETED	0	2023-09-26 01:52:18.868	24.6s	23.2s	69.8%	503.3 MB	2.5 GB	679.6 MB	3.5 MB
38	ce/bc08a4	500801	process_run:extract_reads:extract_kraken_reads (4)	COMPLETED	0	2023-09-26 01:52:18.888	29.4s	28s	71.2%	532.7 MB	2.5 GB	747.2 MB	9.2 MB
37	de/93585c	503049	process_run:extract_reads:extract_kraken_reads (3)	COMPLETED	0	2023-09-26 01:52:37.816	30.4s	29.4s	74.6%	514.6 MB	2.5 GB	771.4 MB	365.5 KB
35	9e/4d1854	504310	process_run:extract_reads:extract_kraken_reads (1)	COMPLETED	0	2023-09-26 01:52:48.306	21s	19.8s	71.8%	507.4 MB	2.5 GB	649.8 MB	144.5 KB
44	31/8bd735	503574	process_run:extract_reads:extract_kraken_reads (10)	COMPLETED	0	2023-09-26 01:52:43.518	30.5s	29.4s	72.5%	538.8 MB	2.5 GB	766.7 MB	9.2 MB
42	4d/5007bf	505949	process_run:extract_reads:extract_kraken_reads (8)	COMPLETED	0	2023-09-26 01:53:09.309	19.1s	18.1s	69.3%	509.1 MB	2.5 GB	639.5 MB	5.2 KB
43	0d/e5e1a9	506631	process_run:extract_reads:extract_kraken_reads (9)	COMPLETED	0	2023-09-26 01:53:14.013	18.8s	17.8s	69.7%	505.2 MB	2.5 GB	639.5 MB	8.7 KB
39	b6/868fe1	505750	process_run:extract_reads:extract_kraken_reads (5)	COMPLETED	0	2023-09-26 01:53:08.221	30.3s	29.2s	72.9%	530.1 MB	2.5 GB	752.7 MB	8.3 MB
46	e5/58c574	508590	process_run:extract_reads:extract_kraken_reads (12)	COMPLETED	0	2023-09-26 01:53:32.792	19.1s	18.1s	68.2%	503 MB	2.5 GB	639.5 MB	5.4 KB
47	7e/a7affa	510658	process_run:extract_reads:check_reads (1)	COMPLETED	0	2023-09-26 01:53:51.952	1.2s	98ms	27.6%	3.2 MB	5.6 MB	87.2 KB	1.3 KB
